Day,Day_Focus,Exercise_Activity,Sets_x_Reps_Duration,Primary_Muscles_Target,Equipment_Needed,Alternative_Exercise,Intensity_Level,Estimated_Time_Minutes,Completion_Status,Notes_Modifications
Monday,Back + Biceps + Forearms,Lat Pulldown,3 sets x 12-15 reps,Latissimus Dorsi,Lat Pulldown Machine,Pull-ups/Assisted Pull-ups,Moderate,8-10,Not Started,
Monday,Back + Biceps + Forearms,Bent Over Row/Seated Row,3 sets x 12-15 reps,"Rhomboids, Mid Traps",Cable/DB/Seated Row,Bent Over DB Rows,Moderate,8-10,Not Started,
Monday,Back + Biceps + Forearms,Straight Arm Pulldown,2 sets x 12-15 reps,"Lats, Serratus",Cable Machine,DB Pullovers,Moderate,5-7,Not Started,
Monday,Back + Biceps + Forearms,Dumbbell Shrugs,3 sets x 12-15 reps,Upper Traps,Dumbbells,Resistance Band Shrugs,Moderate,5-7,Not Started,
Monday,Back + Biceps + Forearms,Back Extension,3 sets x 12-15 reps,Erector Spinae,Back Extension Bench,Superman/Good Mornings,Moderate,5-7,Not Started,
Monday,Back + Biceps + Forearms,Supination Curl (DB),3 sets x 12-15 reps,Biceps Brachii,Dumbbells,Resistance Band Curls,Moderate,8-10,Not Started,
Monday,Back + Biceps + Forearms,Hammer Curl,2 sets x 12-15 reps,"Brachialis, Biceps",Dumbbells,Neutral Grip Pull-ups,Moderate,5-7,Not Started,
Monday,Back + Biceps + Forearms,Concentration Curl,2 sets x 12-15 reps,Biceps Peak,Dumbbells/Preacher Bench,Single Arm Cable Curls,Moderate,5-7,Not Started,
Monday,Back + Biceps + Forearms,Barbell Bicep Curl,2 sets x 12-15 reps,Biceps Brachii,Barbell/Cable,Resistance Band Curls,Moderate,5-7,Not Started,
Monday,Back + Biceps + Forearms,Gorilla Gripper/Forearm Work,3 sets x 12-15 reps,Forearm Flexors,Grip Strengthener/DB,Stress Ball Squeezes,Moderate,5-7,Not Started,
Tuesday,Cardio + Abs (Machine Focus),Treadmill Warm-up,5 minutes,Cardiovascular,Treadmill,Walking/Dynamic Movement,Moderate,5,Not Started,
